file,path,format,bytes,used_by_classnames,share_count,recorded_source,tool_stated_in_file,units_and_axes,meshes,materials,material_names,textures,images,uv_declared,paint_readiness,hardpoint_named_nodes_STATED_IN_FILE,markers_cig_PROJECT,markers_inherited_PROJECT,markers_name_derived_PROJECT,animations,skins,lod_named,collision_named,node_transforms,raw_accessor_extent_X_Y_Z_MEASURED,world_extent_X_Y_Z_MEASURED_node_transforms_applied,skinned
100i.glb,testing/_deploy/models/100i.glb,"glTF 2 binary, Draco yes",1531028,ORIG_100i,1,"sc-ships/index.json id 159, slug jhr09qzpxcd6k (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,5,4,0,0,0,0,0,no,11.431 x 2.729 x 17.485,11.431 x 2.729 x 17.485,no
125a.glb,testing/_deploy/models/125a.glb,"glTF 2 binary, Draco yes",1787980,ORIG_125a,1,"sc-ships/index.json id 160, slug ps7wnmekb36cl (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,6,8,0,0,0,0,0,no,11.431 x 2.729 x 17.485,11.431 x 2.729 x 17.485,no
135c.glb,testing/_deploy/models/135c.glb,"glTF 2 binary, Draco yes",1616312,ORIG_135c,1,"sc-ships/index.json id 161, slug 3a3k44fw9ufz4 (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,5,4,0,0,0,0,0,no,11.431 x 2.726 x 17.485,11.431 x 2.726 x 17.485,no
300i.glb,testing/_deploy/models/300i.glb,"glTF 2 binary, Draco yes",906252,ORIG_300i,1,"sc-ships/index.json id 7, slug euwwr0lwn6in0 (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,7,5,0,0,0,0,0,no,16.304 x 5.524 x 24.843,16.304 x 5.524 x 24.843,no
315p.glb,testing/_deploy/models/315p.glb,"glTF 2 binary, Draco yes",1828964,ORIG_315p,1,"sc-ships/index.json id 8, slug fzts1fg7ykeo5 (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,7,5,0,0,0,0,0,no,16.257 x 5.423 x 22.301,16.257 x 5.423 x 22.301,no
325a.glb,testing/_deploy/models/325a.glb,"glTF 2 binary, Draco yes",1616652,ORIG_325a,1,"sc-ships/index.json id 9, slug ogphgbaaarlbp (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,7,7,0,0,0,0,0,no,16.065 x 5.389 x 23.026,16.065 x 5.389 x 23.026,no
350r.glb,testing/_deploy/models/350r.glb,"glTF 2 binary, Draco yes",946016,ORIG_350r,1,"sc-ships/index.json id 10, slug id69wp9ug7tts (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,7,5,0,0,0,0,0,no,16.309 x 5.523 x 24.842,16.309 x 5.523 x 24.842,no
400i.glb,testing/_deploy/models/400i.glb,"glTF 2 binary, Draco yes",1867080,ORIG_400i,1,"sc-ships/index.json id 223, slug bt22rny599s22 (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,10,42,0,0,0,0,0,no,31.636 x 10.134 x 59.225,31.636 x 10.134 x 59.225,no
600i_Executive_Edition.glb,testing/_deploy/models/600i_Executive_Edition.glb,"glTF 2 binary, Draco yes",4919004,ORIG_600i_Executive_Edition,1,MODEL_SOURCE.txt: https://api.fleetyards.net/v1/models/orig-600i-executive-edition,glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,2,2,Material|Glass.001,0,0,yes,"one or two materials, not split by part (names in material_names)",0,0,27,11,0,0,0,0,yes,5201.844 x 9026.777 x 1751.028,91.5 x 17.556 x 52.155,no
600i_Explorer.glb,testing/_deploy/models/600i_Explorer.glb,"glTF 2 binary, Draco yes",1831844,ORIG_600i;ORIG_600i_BIS2951,2,"sc-ships/index.json id 141, slug 4rzlgxtznqilp (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,22,54,0,0,0,0,0,no,52.148 x 16.604 x 91.59,52.148 x 16.604 x 91.59,no
600i_Touring.glb,testing/_deploy/models/600i_Touring.glb,"glTF 2 binary, Draco yes",1253276,ORIG_600i_Touring,1,"sc-ships/index.json id 140, slug 0ih9xvaedu7xx (Fleetyards, index dated 2026-07-26)",glTF-Transform v4.4.2,the FORMAT states metres and +Y up; NOT verified against the geometry,1,1,Default,0,0,yes,"one material ""Default"" - no slot to paint",0,11,27,0,0,0,0,0,no,52.237 x 16.33 x 91.579,52.237 x 16.33 x 91.579,no
